text,label
"From: demon@desire.wright.edu (Not a Boomer)
Subject: Re: Supply Side Economic Policy (was Re: David Stockman )
Article-I.D.: desire.1993Apr6.125825.8263
Distribution: na
Organization: ACME Products
Lines: 60

In article <Ufk_Gqu00WBKE7cX5V@andrew.cmu.edu>, Ashish Arora <ashish+@andrew.cmu.edu> writes:
> Excerpts from netnews.sci.econ: 5-Apr-93 Re: Supply Side Economic Po..
> by Not a Boomer@desire.wrig 
> [...]
> 
>>    The deficits declined from 84-9, reaching a low of 2.9% of GNP before  
>> the tax and spending hike of 1990 reversed the trend.
>>  
>> Brett
> Is this true ?  Some more details would be appreciated.

In billions of dollars (%GNP):
year  GNP    receipts     outlays       deficit     debt    unempl%  admin
====  ====   ===========  ============  =========   ======  =======  =======
1977  1930   355.6 (18.4) 409.2  (21.2) 53.6 (2.8)   709.1           Carter
1978  2174   399.6 (18.4) 458.7  (21.1) 59.2 (2.7)   780.4           Carter
1979  2444   463.3 (19.0) 503.5  (20.6) 40.2 (1.6)   833.8           Carter
1980  2674   517.1 (19.3) 590.9  (22.1) 73.8 (2.8)   914.3   7.9     Carter
1981  2986   599.3 (20.1) 678.2  (22.7) 78.9 (2.6)  1003.9   8.4     Reagan
1982  3130   617.8 (19.7) 745.7  (23.8) 127.9 (4.1) 1147.0  11.0     Reagan
1983  3325   600.6 (18.1) 808.3  (24.3) 207.8 (6.2) 1381.9  10.9     Reagan
1984  3688   666.5 (18.1) 851.8  (23.1) 185.3 (5.0) 1576.7   8.6     Reagan
1985  3958   734.1 (18.5) 946.3  (23.9) 212.3 (5.4) 1827.5   8.1     Reagan
1986  4177   769.1 (18.4) 989.8  (23.7) 220.7 (5.3) 2129.5   7.9     Reagan
1987  4442   854.1 (19.2) 1002.1 (22.6) 148.0 (3.4) 2354.3   7.1     Reagan
1988  4771   909.0 (19.1) 1064.1 (22.3) 155.1 (3.2) 2614.6   6.3     Reagan
1989  5201   990.8 (19.0) 1142.8 (22.0)	152.0 (2.9) 2881.1           Bush
1990         1031.2       1251.6        220.4       3190.5           Bush
1991	     1054.3	  1323.0	268.7       3599.0           Bush

[Source: Statistical Abstract of the US (1990 version), American Almanac 
(1993 version), Universal Almanac (1993 version), Information Please Almanac
(1991 version)]

		GRAPHICALLY: Deficits as a % of GNP, 1981-89

% GNP
7|
 |
6|                       X
 |                                       X       X
5|                               X                
 |                                                
4|               X
 |                                                       X
3|                                                               X       X
 |       X
2|
 |
1|
 |____________________________________________________________________________
0	1981	1982	1983	1984	1985	1986	1987	1988	1989

	Ironically, Bush could have frozen spending, kept his ""no new taxes""
pledge and balanced the budget.

Brett
________________________________________________________________________________
	""There's nothing so passionate as a vested interest disguised as an
intellectual conviction.""  Sean O'Casey in _The White Plague_ by Frank Herbert.
",space
"From: dreitman@oregon.uoregon.edu (Daniel R. Reitman, Attorney to Be)
Subject: Re: Traffic Case
Article-I.D.: oregon.5APR199315572465
Distribution: world
Organization: University of Oregon
Lines: 20
NNTP-Posting-Host: oregon.uoregon.edu
News-Software: VAX/VMS VNEWS 1.41

In article <1993Apr5.140934.876@colorado.edu>,
 ajteel@dendrite.cs.Colorado.EDU (A.J. Teel) writes...
>	The [McDonald] case was dismissed in the interests of Justice

On whose authority do you have this and on what grounds was it 
dismissed?

						Daniel Reitman

HOW NOT TO WRITE A DEED

One case involved the construction of a conveyance to grantees ""jointly, as 
tenants in common, with equal rights and interest in said land, and to the 
survivor thereof, in fee simple. . . . To Have and to Hold the same unto the 
said parties hereto, equally, jointly, as tenants in common, with equal rights 
and interest for the period or term of their lives, and to the survivor thereof 
at the death of the other.""

The court held that the survivorship provision indicated an intent to create a 
joint tenancy.  Germain v. Delaine, 294 Ala. 443, 318 So.2d 681 (1975).
",space
"From: mcgoy@unicorn.acs.ttu.edu (David McGaughey)
Subject: Re: high speed rail is bad
Organization: Texas Tech University
Distribution: tx
Lines: 32

bmich@cs.utexas.edu (Brian Keith Michalk) writes:
> 	A few weeks ago I found out about some of the politics that
> is going on with the Texas bullet train, and was appalled at some
> of the apparent underhanded tactics to push this thing through
> without any public say whatsoever.  So, I wrote up a short 
> editorial thing and posted it, hoping to get some discussion.
> 
> I suppose editorials don't do it here.  So now I am asking for 
> the general opinion of the net about the proposed high speed 
> train.
> 
> What do you think?  I personally think it is a stupid idea, and
> that there are a few people somewhere who are going to get very
> rich from this deal.
> 

My opinion is this:  In a society whose economy is primarily based on 
capitalism, the role of government should be to provide those goods and 
services that need providing for the general public's good.  BUT government 
should supply those necessary goods and services only when it is impossible 
for a private enterprise (or individual) to make money from providing them.
I agree with some of the other posts that this train probably can not make 
money and will rely heavily on State tax dollars.  

The question, I think, then becomes:  Do we, the general public, need the train?

I certainly do not, nor will I ever, need this train in Lubbock, Texas.  With
the inexpensive air travel provided between Dallas and Houston, I don't think
people in Dallas or Houston need it either.

David McGaughey
Texas Tech University
",space
"From: blh@uiboise.idbsu.edu (Broward L. Horne)
Subject: "" Only $17 / Month! ""
X-Received: by usenet.pa.dec.com; id AA25085; Fri, 16 Apr 93 07:52:11 -0700
X-Received: by inet-gw-2.pa.dec.com; id AA12308; Fri, 16 Apr 93 07:51:10 -0700
X-Received: by uiboise.idbsu.edu
	(16.6/16.2) id AA28928; Thu, 15 Apr 93 10:11:24 -0600
X-To: talk.politics.misc.usenet
X-Cc: alt.politics.clinton.usenet
X-Mailer: Elm [revision: 66.25]
Lines: 58



	Ahhh, remember the days of Yesterday?  When we were only 
	going to pay $17 / month?

	When only 1.2% of the population would pay extra taxes?

	Remember when a few of us predicted that it wasn't true?  :)
	Remember the Inaugural?   Dancing and Singing!  Liberation
	at last!  

	Well, figure *this* out:

	5% VAT, estimated to raise $60-100 Billion per year ( on CNN )
	Work it out, chum...

	     $60,000,000,000  /  125,000,000 taxpayers = $480 / year

        But, you exclaim, "" I'll get FREE HEALTH CARE! ""
	But, I exclaim, "" No, you won't! ""

	This is only for that poor 37 million who have none.  Not for
	YOU, chum. :)  That comes LATER.

	Add in the estimates of the energy tax costs - $300-500 / year

	Plus, all that extra ""corporate and rich"" taxes that will 
	trickle down, and what do you have?

	$1,000 / year, just like I said two months ago.

	And, the best part?   You don't GET ANYTHING for it.

	Deficit is STILL projected to rise at same rate it's  been
	rising at, by CLINTON'S OWN ESTIMATES.  And this assumes that
	his plan WILL WORK!

	I mean, come on, it doesn't take a ROCKET SCIENTIST to see
	that in another 2 or 3 years, we're GETTING ANOTHER WHOPPING
	TAX INCREASE, because the deficit will STILL be GROWING 
	FASTER THAN the ECONOMY.

	All Clinton is doing, is moving us to a HIGHER diving board.

        Face it.  Clinton is Bush X 2.  In four more years, our
	country will be completely bankrupt, and your children's
	future, so oft mentioned by Pal Bill, will be gone.

	And those of you still deluding yourselves will be faced
	with the guilt.

	Well, <glancing at watch>, gotta go.  I want to be out of
	here by noon.  Got an appointment at the lake.  No tax
	there, yet.

	:)


",space
"From: wiggins@cecer.army.mil (Don Wiggins)
Subject: Re: Top Ten Responses to Ed's Top Ten Lists
Organization: US Army Corps of Engineers Construction Engineering Research Labs
Lines: 16

>>roby@chopin.udel.edu (Scott W Roby) writes:
>>
>>The real question: Should the Feds bail-out Steve Jobs & NeXT (a la Chrysler)
>>so that important manufacturing jobs wouldn't be lost?

""...a la Chrysler""??  Okay kids, to the nearest thousand, how many
dollars did the government spend to ""bail out"" Chrysler?  More than zero
you say?  

Bzzzzzzzzzt.  Wrong answer.

|===========================================================================|
|Don Wiggins, German-Irish-American    | Success is getting what you want.  |
| & Lead Scout for the Baby Boomers    | Happiness is wanting what you get. |
|Internet: wiggins@osiris.cso.uiuc.edu |     -- Brother Dave Gardner        |
|===========================================================================|
",space
"From: nickh@CS.CMU.EDU (Nick Haines)
Subject: Re: Vandalizing the sky.
In-Reply-To: todd@phad.la.locus.com's message of Wed, 21 Apr 93 16:28:00 GMT
Originator: nickh@SNOW.FOX.CS.CMU.EDU
Nntp-Posting-Host: snow.fox.cs.cmu.edu
Organization: School of Computer Science, Carnegie Mellon University
	<1993Apr21.162800.168967@locus.com>
Lines: 33

In article <1993Apr21.162800.168967@locus.com> todd@phad.la.locus.com (Todd Johnson) writes:

   As for advertising -- sure, why not?  A NASA friend and I spent one
   drunken night figuring out just exactly how much gold mylar we'd need
   to put the golden arches of a certain American fast food organization
   on the face of the Moon.  Fortunately, we sobered up in the morning.

Hmmm. It actually isn't all that much, is it? Like about 2 million
km^2 (if you think that sounds like a lot, it's only a few tens of m^2
per burger that said organization sold last year). You'd be best off
with a reflective substance that could be sprayed thinly by an
unmanned craft in lunar orbit (or, rather, a large set of such craft).
If you can get a reasonable albedo it would be visible even at new
moon (since the moon itself is quite dark), and _bright_ at full moon.
You might have to abandon the colour, though.

Buy a cheap launch system, design reusable moon -> lunar orbit
unmanned spraying craft, build 50 said craft, establish a lunar base
to extract TiO2 (say: for colour you'd be better off with a sulphur
compound, I suppose) and some sort of propellant, and Bob's your
uncle.  I'll do it for, say, 20 billion dollars (plus changes of
identity for me and all my loved ones). Delivery date 2010.

Can we get the fast-food chain bidding against the fizzy-drink
vendors? Who else might be interested?

Would they buy it, given that it's a _lot_ more expensive, and not
much more impressive, than putting a large set of several-km
inflatable billboards in LEO (or in GEO, visible 24 hours from your
key growth market). I'll do _that_ for only $5bn (and the changes of
identity).

Nick Haines nickh@cmu.edu
",politics
"From: mike@gordian.com (Michael A. Thomas)
Subject: Re: Good Neighbor Political Hypocrisy Test
Organization: Gordian; Costa Mesa, CA
Lines: 60

In article <C5IJ7H.L95@news.iastate.edu>, jrbeach@iastate.edu (Jeffry R Beach) writes:
> In article <1993Apr15.021021.7538@gordian.com> mike@gordian.com (Michael A. Thomas) writes:
> >In article <C5HuH1.241@news.iastate.edu>, jrbeach@iastate.edu (Jeffry R Beach) writes:
> >> Think about it -- shouldn't all drugs then be legalized, it would lower
> >> the cost and definitely make them safer to use.
> >
> >  Yes.
> > 
> >> I don't think we want to start using these criterion to determine
> >> legality.
> >
> >  Why not?
> 
> 
> Where do they get these people?!  

  What, pray tell, does this mean? Just who exactly is *they*?
You mean ""they"" as in people who do not blindly swallow every
piece of propoganda they are given? Or ""they"" as in NOKD (not
our kind, dear). Or ""they"" as in an appeal to some audience
that is supposed to implicitly know and understand?

> I really don't want to waste time in
> here to do battle about the legalization of drugs.  If you really want to, we
> can get into it and prove just how idiotic that idea is!  

  Read: I do not know what the fuck I'm talking about, and am
not eager to make a fool of myself.
 
> My point was that it is pretty stupid to justify legalizing something just
> because it will be safer and cheaper.

  From a pragmatic standpoint, there certainly is some justification
if it is a vice people will commit anyway. Shall we criminalize
alcohol again? If the re-legalization for alcohol were done from
anything other than the pragmatic standpoint, I'd be happy to hear 
about it. The fact is that it wasn't.

> A few more ideas to hold to these criterion - prostitution; the killing of all
> funny farm patients, AIDS ""victims"", elderly, unemployed, prisioners, etc. -
> this would surely make my taxes decrease.

  Only the first one make any sense. There is nothing to ""legalize""
about all the rest. Just in case you haven't made the connection 
(which I expect you haven't) the connecting theme in this thread is
a persons autonomy over their life and body. Vice statutes serve
only to make it more expensive for the rich and more dangerous
for the poor, as Tim so eloquently put it. People will, however,
take autonomy over their lives, regardless of what the government
says.
  And why, pray tell, is AIDS ""victim"" in snear quotes? Are you of
the revisionist sort that thinks there is no such thing as the AIDS
plauge? Or do they just deserve it?
-- 

		Michael Thomas	(mike@gordian.com)
	""I don't think Bambi Eyes will get you that flame thrower...""  
		-- Hobbes to Calvin
		USnail: 20361 Irvine Ave Santa Ana Heights, Ca,	92707-5637
		PaBell: (714) 850-0205 (714) 850-0533 (fax)
",space
"From: jbreed@doink.b23b.ingr.com (James B. Reed)
Subject: Re: space news from Feb 15 AW&ST
Nntp-Posting-Host: doink
Reply-To: jbreed@ingr.com
Organization: Intergraph Electronics
Lines: 10

In article <C5ros0.uy@zoo.toronto.edu>, henry@zoo.toronto.edu (Henry Spencer) writes:
|> [Pluto's] atmosphere will start to freeze out around 2010, and after about
|> 2005 increasing areas of both Pluto and Charon will be in permanent
|> shadow that will make imaging and geochemical mapping impossible.

Where does the shadow come from?  There's nothing close enough to block
sunlight from hitting them.  I wouldn't expect there to be anything block
our view of them either.  What am I missing?

	Jim
",politics
"From: baalke@kelvin.jpl.nasa.gov (Ron Baalke)
Subject: Re: japanese moon landing?
Organization: Jet Propulsion Laboratory
Lines: 16
Distribution: world
NNTP-Posting-Host: kelvin.jpl.nasa.gov
News-Software: VAX/VMS VNEWS 1.41    

In article <C5Kys1.C6r@panix.com> dannyb@panix.com (Daniel Burstein) writes:
>A short story in the newspaper a few days ago made some sort of mention
>about how the Japanese, using what sounded like a gravity assist, had just
>managed to crash (or crash-land) a package on the moon.

The Japanese spacecraft, Hiten, crashed on the Moon last weekend.  For the
past three years it has made several lunar flybys and even did some
aerobraking experiments with Earth's atmosphere.  It was placed in lunar
orbit in February 1992, and I guess it finally ran out of fuel and was
unable to maintain its orbit around the Moon.  
     ___    _____     ___
    /_ /|  /____/ \  /_ /|     Ron Baalke         | baalke@kelvin.jpl.nasa.gov
    | | | |  __ \ /| | | |     Jet Propulsion Lab |
 ___| | | | |__) |/  | | |__   M/S 525-3684 Telos | The aweto from New Zealand
/___| | | |  ___/    | |/__ /| Pasadena, CA 91109 | is part caterpillar and
|_____|/  |_|/       |_____|/                     | part vegetable.
",politics
"From: DPierce@world.std.com (Richard D Pierce)
Subject: Re: Some Recent Observations by Hubble
Keywords: HST, Pluto, Uranus
Organization: The World Public Access UNIX, Brookline, MA
Lines: 13

In article <15APR199316461058@kelvin.jpl.nasa.gov> baalke@kelvin.jpl.nasa.gov (Ron Baalke) writes:
>Here are some recent observations taken by the Hubble Space Telescope:
>
>     o Observations were made using the High Speed Photometer of the Planet
>       Uranus during an occultation by a faint star in Capricornus.
                                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
Wow! I knew Uranus is a long way off, but I didn't think it was THAT far away!

-- 
|                Dick Pierce                |
|    Loudspeaker and Software Consulting    |
| 17 Sartelle Street   Pepperell, MA  01463 |
|       (508) 433-9183 (Voice and FAX)      |
",politics
